date_arrival,MIN,MAX,MODAL,Arrival
2021-01-01,865.15,2706.88,2060.6,11575.0
2021-01-02,1105.07,2720.16,2181.84,15560.0
2021-01-03,1129.41,2741.47,2141.18,3954.0
2021-01-04,967.31,2754.16,2167.55,21441.0
2021-01-05,1188.84,2793.71,2275.47,21526.0
2021-01-06,1335.29,2698.0,2242.65,7103.0
2021-01-07,1335.29,2698.0,2242.65,7103.0
2021-01-08,1335.29,2698.0,2242.65,7103.0
2021-01-09,1160.0,3223.0,2832.4,3389.0
2021-01-10,633.33,3366.67,2375.0,394.0
2021-01-11,1575.0,3032.25,2662.5,3318.0
2021-01-12,1000.0,2885.5,2525.0,2344.0
2021-01-13,837.5,2626.62,2076.5,4318.0
2021-01-14,1216.5,2932.0,2319.16,17345.0
2021-01-15,1303.44,2949.38,2391.25,4582.0
2021-01-16,1196.09,2988.88,2394.59,16221.0
2021-01-17,1402.86,2826.0,2298.81,4058.0
2021-01-18,1146.83,2879.45,2324.69,39905.0
2021-01-19,1246.9,3052.98,2490.36,29594.0
2021-01-20,1194.73,3043.67,2469.96,36892.0
2021-01-21,1354.4,3048.35,2543.67,37380.0
2021-01-22,1071.4,2917.96,2317.93,35440.0
2021-01-23,1246.63,2820.08,2297.68,20726.0
2021-01-24,1413.04,2670.26,2196.78,6287.0
2021-01-25,983.74,2609.98,2095.41,42045.0
2021-01-26,954.44,2631.11,1855.56,1695.0
2021-01-27,1056.39,2643.48,2144.98,32681.0
2021-01-28,1151.36,2712.18,2233.8,26531.0
2021-01-29,998.91,2818.57,2285.59,25986.0
2021-01-30,1047.86,2895.0,2326.6,18340.0
2021-01-31,1131.58,2792.63,2125.0,3287.0
2021-02-01,1225.96,3535.07,2858.72,18917.0
2021-02-02,1460.71,3600.21,2926.86,16399.0
2021-02-03,1379.07,3641.79,2997.77,19664.0
2021-02-04,1275.93,3528.58,2815.16,15516.0
2021-02-05,1207.74,3347.33,2677.31,19798.0
2021-02-06,1364.33,3250.9,2650.29,7034.0
2021-02-07,1359.47,3231.29,2588.88,3086.0
2021-02-08,1213.35,3520.17,2842.52,7407.0
2021-02-09,1415.29,3640.45,2975.62,13852.0
2021-02-10,1447.72,3816.77,3093.98,16872.0
2021-02-11,1598.6,3956.6,3117.57,14197.0
2021-02-12,1363.75,3860.25,3110.1,14520.0
2021-02-13,1474.74,3706.44,2995.0,12804.0
2021-02-14,1414.74,3567.16,2787.89,6110.0
2021-02-15,1312.55,3854.77,3032.09,17254.0
2021-02-16,1718.38,3783.08,3082.08,11416.0
2021-02-17,1635.23,4003.61,3247.8,14285.0
2021-02-18,1703.89,3966.14,3252.57,17019.0
2021-02-19,1371.14,3862.33,2985.95,5322.0
2021-02-20,1755.19,3856.86,3189.84,12425.0
2021-02-21,1529.59,4040.32,3072.09,7512.0
2021-02-22,1660.22,4162.96,3441.15,20555.0
2021-02-23,1624.08,3924.25,3200.17,16054.0
2021-02-24,1471.14,3657.42,2950.06,20500.0
2021-02-25,1230.12,3174.38,2504.31,21409.0
2021-02-26,1047.32,2722.11,2140.53,23068.0
2021-02-27,1028.37,2426.23,1917.67,19401.0
2021-02-28,1088.89,2477.33,1919.44,3913.0
2021-03-01,948.0,2726.78,2176.44,23471.0
2021-03-02,1172.98,2773.08,2243.4,18879.0
2021-03-03,1054.76,2742.24,2207.15,26191.0
2021-03-04,992.87,2499.42,1980.53,27013.0
2021-03-05,737.04,2225.6,1700.34,30676.0
2021-03-06,964.12,2278.05,1806.72,21129.0
2021-03-07,1051.05,2344.79,1865.58,4942.0
2021-03-08,837.97,1864.33,1450.82,51244.0
2021-03-09,726.63,1705.04,1330.74,42738.0
2021-03-10,686.16,1578.71,1226.57,44821.0
2021-03-11,826.93,1650.52,1326.03,8556.0
2021-03-12,592.08,1599.04,1225.84,42055.0
2021-03-13,796.43,1719.89,1347.93,15753.0
2021-03-14,686.73,1796.53,1381.0,4014.0
2021-03-15,681.72,1607.87,1272.0,48546.0
2021-03-16,902.17,1649.58,1387.5,17272.0
2021-03-17,902.17,1649.58,1387.5,17272.0
2021-03-18,902.17,1649.58,1387.5,17272.0
2021-03-19,560.0,1312.4,1023.2,5135.0
2021-03-20,542.58,1267.08,985.17,9312.0
2021-03-21,686.84,1502.89,1159.47,6361.0
2021-03-22,522.1,1300.06,1000.73,43235.0
2021-03-23,574.25,1248.73,992.34,44645.0
2021-03-24,576.31,1243.27,990.95,61168.0
2021-03-25,537.02,1226.1,961.37,50070.0
2021-03-26,551.44,1255.16,970.22,35744.0
2021-03-27,555.59,1262.48,971.37,19795.0
2021-03-28,603.85,1363.92,1080.77,3036.0
2021-03-29,480.77,1320.23,1017.69,3991.0
2021-03-30,646.0,1335.68,1035.6,6642.0
2021-03-31,626.85,1285.04,1005.07,9560.0
2021-04-01,562.9,1252.65,961.81,15327.0
2021-04-02,629.62,1261.46,1012.08,6294.0
2021-04-03,680.0,1300.27,1027.76,20358.0
2021-04-04,682.95,1306.86,1050.91,4975.0
2021-04-05,455.48,1095.73,857.5,62039.0
2021-04-06,444.3,1036.0,821.02,45548.0
2021-04-07,510.88,1065.38,851.13,57057.0
2021-04-08,471.0,1056.1,838.03,50128.0
2021-04-09,434.75,1079.15,841.42,43939.0
2021-04-10,509.35,1082.35,867.2,17441.0
2021-04-11,820.0,1290.2,1120.0,1264.0
2021-04-12,481.58,1065.6,849.85,38735.0
2021-04-13,484.89,1111.18,835.29,20098.0
2021-04-14,560.42,1157.46,923.21,13380.0
2021-04-15,452.77,1119.11,875.57,42973.0
2021-04-16,466.86,1111.25,873.9,41517.0
2021-04-17,553.86,1173.89,939.54,20520.0
2021-04-18,607.27,1195.45,993.18,1622.0
2021-04-19,460.65,1126.16,879.22,37584.0
2021-04-20,479.28,1142.13,901.51,34075.0
2021-04-21,528.42,1193.58,927.88,22998.0
2021-04-22,507.63,1183.74,907.14,25732.0
2021-04-23,519.41,1176.05,921.59,25362.0
2021-04-24,523.0,1161.0,923.3,4448.0
2021-04-25,492.5,1107.08,864.17,1071.0
2021-04-26,559.43,1238.83,972.07,33819.0
2021-04-27,501.62,1218.79,922.57,34235.0
2021-04-28,553.72,1228.17,960.55,36873.0
2021-04-29,521.54,1265.8,974.84,36332.0
2021-04-30,557.14,1273.64,975.33,30492.0
2021-05-01,501.67,1240.0,958.33,129.0
2021-05-02,505.56,1359.0,1036.67,2044.0
2021-05-03,541.61,1269.85,987.9,56348.0
2021-05-04,561.44,1326.56,1019.97,51975.0
2021-05-05,554.25,1279.33,998.09,52102.0
2021-05-06,572.3,1259.63,967.12,40068.0
2021-05-07,545.73,1355.41,1000.64,30230.0
2021-05-08,594.68,1297.71,1017.61,12413.0
2021-05-09,703.65,1321.76,1059.18,3829.0
2021-05-10,503.4,1281.79,973.02,35579.0
2021-05-11,648.21,1377.51,1069.85,28532.0
2021-05-12,640.33,1338.47,1079.89,14959.0
2021-05-13,585.48,1271.9,980.55,7055.0
2021-05-14,745.55,1332.73,1041.36,3173.0
2021-05-15,656.8,1300.35,993.75,3996.0
2021-05-16,630.77,1393.08,1099.62,2533.0
2021-05-17,557.58,1276.13,982.42,10527.0
2021-05-18,563.09,1295.59,980.15,7979.0
2021-05-19,556.03,1302.79,1015.52,6523.0
2021-05-20,607.22,1322.94,1034.17,8359.0
2021-05-21,591.88,1382.71,1069.38,7870.0
2021-05-22,825.5,1440.75,1167.5,4920.0
2021-05-23,810.0,1556.73,1196.67,3816.0
2021-05-24,680.3,1561.53,1211.7,21406.0
2021-05-25,677.27,1631.98,1268.0,27306.0
2021-05-26,648.63,1631.43,1267.2,25364.0
2021-05-27,689.12,1741.45,1314.48,25570.0
2021-05-28,686.68,1753.21,1322.44,27111.0
2021-05-29,765.22,1756.74,1340.3,13095.0
2021-05-30,801.33,1664.67,1245.67,2933.0
2021-05-31,728.54,1831.51,1426.1,30043.0
2021-06-01,726.34,1927.0,1469.37,27089.0
2021-06-02,756.71,1944.81,1509.0,30003.0
2021-06-03,793.49,1973.07,1536.17,32346.0
2021-06-04,744.02,1965.79,1472.46,32107.0
2021-06-05,783.39,1906.5,1477.17,17195.0
2021-06-06,878.12,1978.25,1536.88,4177.0
2021-06-07,760.35,1927.94,1490.71,22382.0
2021-06-08,699.88,1943.69,1494.41,39116.0
2021-06-09,702.78,2009.63,1546.04,27907.0
2021-06-10,755.77,1974.75,1481.44,27521.0
2021-06-11,655.48,2042.8,1537.77,31500.0
2021-06-12,889.67,2025.36,1595.59,18818.0
2021-06-13,782.27,1882.77,1408.91,6517.0
2021-06-14,701.45,1935.41,1487.57,35087.0
2021-06-15,755.23,2011.92,1543.4,24385.0
2021-06-16,733.02,2000.33,1559.37,27580.0
2021-06-17,748.47,2052.11,1567.14,32610.0
2021-06-18,725.06,2048.26,1577.94,30428.0
2021-06-19,855.56,1960.47,1579.08,21421.0
2021-06-20,866.15,1943.08,1522.5,6875.0
2021-06-21,746.65,2062.98,1589.56,36411.0
2021-06-22,781.0,2088.78,1626.53,29109.0
2021-06-23,799.96,2054.06,1641.8,32033.0
2021-06-24,747.75,1984.64,1520.87,31219.0
2021-06-25,772.85,1964.17,1536.3,22257.0
2021-06-26,860.84,1953.24,1583.87,16396.0
2021-06-27,892.69,1923.85,1491.54,10330.0
2021-06-28,709.02,1949.52,1517.0,29800.0
2021-06-29,761.56,1946.84,1526.92,23140.0
2021-06-30,762.69,1971.16,1590.71,23031.0
2021-07-01,839.29,1912.27,1530.29,20314.0
2021-07-02,730.48,1920.24,1514.48,21660.0
2021-07-03,875.79,1915.03,1558.24,9899.0
2021-07-04,924.38,1875.5,1486.67,4597.0
2021-07-05,821.88,1975.35,1569.1,27761.0
2021-07-06,792.98,1955.39,1545.2,30398.0
2021-07-07,764.02,1947.98,1541.62,25605.0
2021-07-08,778.73,1924.09,1558.31,35854.0
2021-07-09,686.55,1918.62,1488.7,22712.0
2021-07-10,850.03,1898.97,1560.69,15373.0
2021-07-11,931.0,1871.05,1476.3,5427.0
2021-07-12,745.49,1875.76,1509.31,35728.0
2021-07-13,700.61,1846.82,1453.02,28777.0
2021-07-14,785.23,1831.21,1511.53,20089.0
2021-07-15,726.58,1771.75,1437.2,28281.0
2021-07-16,692.17,1785.05,1417.05,22995.0
2021-07-17,783.88,1776.71,1453.76,14362.0
2021-07-18,923.81,1830.95,1419.1,4375.0
2021-07-19,673.46,1802.54,1438.59,28643.0
2021-07-20,727.16,1843.84,1440.91,12084.0
2021-07-21,692.0,1881.31,1503.62,12357.0
2021-07-22,793.09,1831.91,1511.26,26668.0
2021-07-23,713.8,1850.57,1488.36,26289.0
2021-07-24,827.03,1863.15,1567.03,22401.0
2021-07-25,898.12,1855.04,1499.38,5598.0
2021-07-26,740.13,1947.22,1573.09,35134.0
2021-07-27,672.16,1905.34,1528.11,23891.0
2021-07-28,780.58,1947.84,1588.76,25989.0
2021-07-29,799.4,1944.4,1596.98,28927.0
2021-07-30,667.56,1918.49,1506.76,23335.0
2021-07-31,795.19,1872.39,1501.42,19522.0
2021-08-01,829.83,1938.79,1491.08,6196.0
2021-08-02,664.33,1836.91,1467.84,34514.0
2021-08-03,636.02,1845.29,1447.78,23390.0
2021-08-04,745.78,1848.48,1523.9,19577.0
2021-08-05,778.56,1793.59,1518.33,14567.0
2021-08-06,708.66,1853.5,1486.89,26917.0
2021-08-07,818.24,1841.71,1486.95,19975.0
2021-08-08,930.43,1859.17,1459.17,5516.0
2021-08-09,733.41,1789.14,1487.1,29538.0
2021-08-10,701.43,1811.13,1457.24,18677.0
2021-08-11,713.8,1792.27,1498.83,19761.0
2021-08-12,792.7,1853.83,1521.52,21043.0
2021-08-13,618.3,1812.12,1418.12,18898.0
2021-08-14,726.89,1841.26,1490.22,10065.0
2021-08-15,634.17,1882.08,1392.17,4691.0
2021-08-16,734.37,1857.63,1508.74,21962.0
2021-08-17,741.51,1886.32,1512.19,21674.0
2021-08-18,770.62,1918.42,1579.33,21718.0
2021-08-19,792.87,1866.72,1508.38,12062.0
2021-08-20,658.65,1855.72,1457.45,19543.0
2021-08-21,886.7,1857.32,1557.05,22423.0
2021-08-22,867.5,1900.55,1538.75,4664.0
2021-08-23,725.65,1830.71,1483.35,30148.0
2021-08-24,727.02,1850.22,1488.64,26113.0
2021-08-25,719.58,1842.09,1489.62,28699.0
2021-08-26,684.06,1759.38,1399.6,33912.0
2021-08-27,540.46,1752.26,1318.54,27034.0
2021-08-28,670.5,1701.12,1360.68,20657.0
2021-08-29,814.29,1719.05,1354.81,7417.0
2021-08-30,661.73,1711.94,1369.83,35114.0
2021-08-31,697.76,1736.86,1363.17,16266.0
2021-09-01,658.46,1706.44,1383.8,16730.0
2021-09-02,652.15,1692.57,1354.94,23875.0
2021-09-03,597.0,1668.57,1319.59,23959.0
2021-09-04,752.97,1747.59,1388.21,11079.0
2021-09-05,879.35,1784.61,1472.22,3652.0
2021-09-06,726.67,1743.48,1348.12,14374.0
2021-09-07,697.13,1747.26,1418.74,20024.0
2021-09-08,710.02,1782.66,1460.64,20958.0
2021-09-09,713.4,1765.98,1428.4,28490.0
2021-09-10,617.2,1770.48,1321.6,10432.0
2021-09-11,799.58,1752.52,1404.79,20369.0
2021-09-12,863.33,1819.1,1438.57,4921.0
2021-09-13,584.39,1710.57,1313.33,35430.0
2021-09-14,622.33,1651.98,1276.08,25053.0
2021-09-15,671.12,1704.78,1362.61,28219.0
2021-09-16,622.74,1698.79,1346.17,22216.0
2021-09-17,565.78,1709.1,1341.17,25007.0
2021-09-18,687.03,1679.63,1367.63,16172.0
2021-09-19,741.18,1788.94,1390.35,3216.0
2021-09-20,663.49,1888.93,1486.02,23653.0
2021-09-21,659.45,1886.8,1482.2,22634.0
2021-09-22,758.64,2048.59,1616.57,20036.0
2021-09-23,775.7,2142.62,1695.51,29046.0
2021-09-24,730.25,2222.48,1718.66,21556.0
2021-09-25,728.31,2047.71,1611.51,21132.0
2021-09-26,767.55,2069.4,1531.1,7356.0
2021-09-27,796.32,2072.2,1654.25,29084.0
2021-09-28,800.7,2156.04,1705.59,16767.0
2021-09-29,822.33,2316.7,1849.48,19630.0
2021-09-30,870.28,2515.81,1964.96,25762.0
2021-10-01,912.0,2660.49,2075.65,21852.0
2021-10-02,996.3,2719.63,2065.56,14301.0
2021-10-03,1169.1,2724.81,2076.71,5785.0
2021-10-04,1087.9,3356.04,2643.21,35664.0
2021-10-05,1099.24,3393.83,2572.0,26585.0
2021-10-06,1151.23,3251.03,2494.2,19717.0
2021-10-07,1071.02,3296.45,2623.0,20275.0
2021-10-08,1117.29,3371.75,2695.65,22374.0
